0.971,1.566,1463,1967.796,0.789,0.306,126707.782,118957.222,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126689.291,118988.504,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126674.714,119016.378,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126667.012,119039.165,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126667.236,119055.703,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126674.545,119065.787,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126687.754,119069.812,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126705.925,119068.981,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126728.619,119064.605,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126755.368,119058.154,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126785.548,119050.733,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126818.211,119043.355,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126852.365,119036.618,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126886.924,119031.061,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126920.967,119026.897,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126953.635,119024.36,0.005
0.971,1.566,1463,1967.796,0.789,0.306,126984.306,119023.461,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127012.463,119024.302,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127037.801,119026.82,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127060.112,119031.077,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127079.333,119037,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127095.447,119044.638,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127108.542,119053.918,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127118.716,119064.883,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127126.108,119077.455,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127130.837,119091.668,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127133.047,119107.436,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127132.868,119124.776,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127130.435,119143.593,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127125.873,119163.888,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127119.308,119185.552,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127110.873,119208.57,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127100.699,119232.806,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127088.988,119258.168,0.005
0.971,1.566,1463,1967.796,0.789,0.306,127075.941,119284.455,0.005
