0.971,1.566,1463,1967.796,0.789,0.306,138244.972,105533.509,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138245.565,105533.795,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138258.814,105525.578,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138288.495,105497.951,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138331.446,105444.006,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138385.626,105361.59,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138450.782,105251.471,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138527.082,105116.214,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138614.537,104959.397,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138712.592,104785.03,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138819.981,104597.207,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138934.82,104399.913,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139054.832,104196.944,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139177.58,103991.867,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139300.68,103788.016,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139421.908,103588.501,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139538.733,103396.528,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139647.591,103216.35,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139745.522,103052.897,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139830.691,102911.128,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139902.354,102795.186,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139960.318,102708.129,0.005
0.971,1.566,1463,1967.796,0.789,0.306,140004.907,102651.639,0.005
0.971,1.566,1463,1967.796,0.789,0.306,140036.59,102626.165,0.005
0.971,1.566,1463,1967.796,0.789,0.306,140056.058,102630.949,0.005
0.971,1.566,1463,1967.796,0.789,0.306,140064.309,102664.127,0.005
0.971,1.566,1463,1967.796,0.789,0.306,140062.866,102722.639,0.005
0.971,1.566,1463,1967.796,0.789,0.306,140052.851,102802.896,0.005
0.971,1.566,1463,1967.796,0.789,0.306,140035.382,102900.963,0.005
0.971,1.566,1463,1967.796,0.789,0.306,140011.31,103013.117,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139981.64,103135.787,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139947.19,103265.882,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139908.885,103400.608,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139867.461,103537.691,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139823.747,103675.124,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139778.343,103811.333,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139731.896,103944.937,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139684.824,104074.901,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139637.589,104200.31,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139590.452,104320.41,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139543.723,104429.983,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139497.516,104525.585,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139452.015,104608.129,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139407.28,104680.129,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139363.459,104744.45,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139320.589,104803.688,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139278.791,104859.727,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139238.08,104913.757,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139198.533,104966.266,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139159.778,105017.311,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139121.54,105066.615,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139083.798,105113.854,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139046.594,105158.783,0.005
0.971,1.566,1463,1967.796,0.789,0.306,139009.931,105201.372,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138973.768,105241.813,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138938.155,105280.421,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138903.222,105317.502,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138869.106,105353.264,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138835.919,105387.776,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138803.698,105420.995,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138772.409,105452.815,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138741.966,105483.13,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138712.27,105511.876,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138683.237,105539.042,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138654.818,105564.665,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138626.999,105588.808,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138599.793,105611.54,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138573.22,105632.921,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138547.303,105652.995,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138522.051,105671.795,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138497.463,105689.349,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138473.531,105705.689,0.005
0.971,1.566,1463,1967.796,0.789,0.306,138450.244,105720.848,0.005
